구분,주소,등록번호,부동산명,연락처,대표,sggNm,보증보험,등록일자
송파동,서울특별시 송파구 백제고분로46길 29 1층(송파동),11710-2022-00118,국민공인중개사사무소,02-420-0047,손민식,송파구,유,2022-04-05
석촌동,서울특별시 송파구 송파대로37길 8 1층 (석촌동),11710-2022-00093,헬리오시티두꺼비(02-442-1000)공인중개사사무소,02-442-1000,구현모,송파구,유,2022-03-08
석촌동,서울특별시 송파구 백제고분로34길 19 102호 (석촌동),11710-2022-00080,더리더스공인중개사사무소,02-416-5556,강효선,송파구,유,2022-02-24
송파동,서울특별시 송파구 가락로28길 15 1층(송파동),11710-2022-00076,미성공인중개사사무소,02-418-8080,김창신,송파구,유,2022-02-18
송파동,서울특별시 송파구 백제고분로41길 21 1층 (송파동),11710-2022-00073,황금공인중개사사무소,"02-2203-4989, 02-2203-4988",김진영,송파구,유,2022-02-15
송파동,서울특별시 송파구 백제고분로 378 2층(송파동),11710-2022-00048,더원하우스공인중개사사무소,-,장은아,송파구,유,2022-01-24
석촌동,서울특별시 송파구 백제고분로39길 27 1층(석촌동),11710-2022-00036,바른부동산중개,02-422-5551,최주아,송파구,유,2022-01-18
석촌동,서울특별시 송파구 가락로5길 31-11 101호(석촌동),11710-2022-00035,정공인중개사사무소,-,정용선,송파구,유,2022-01-18
송파동,서울특별시 송파구 가락로31길 35 101호(송파동),11710-2022-00021,유한회사에이에프부동산중개법인,02-6959-2310,김윤수,송파구,유,2022-01-11
송파동,"서울특별시 송파구 오금로24길 13 1층13호(송파동, 미성상가)",11710-2022-00006,가온공인중개사사무소,02-421-0088,김아름,송파구,유,2022-01-05
송파동,"서울특별시 송파구 오금로24길 13 1층9호,1층10호(송파동, 미성상가)",11710-2021-00311,삼성공인중개사사무소,02-414-6361,이형승,송파구,유,2021-12-31
송파동,서울특별시 송파구 송이로 24 1층(송파동),11710-2021-00275,라보로공인중개사사무소,02-1811-0767,남재우,송파구,유,2021-11-15
송파동,"서울특별시 송파구 오금로 126 106호(송파동, 레이크해모로)",11710-2021-00252,송파리치공인중개사사무소,02-425-2300,조현찬,송파구,유,2021-10-25
송파동,서울특별시 송파구 백제고분로 379 2층,11305-2022-00059-006,주식회사집토스부동산중개(분사무소),02-6954-3289,성재필,강북구,유,2021-10-21
석촌동,서울특별시 송파구 송파대로39길 1 1층(석촌동),11710-2021-00240,드림공인중개사사무소,-,이민자,송파구,유,2021-10-08
석촌동,서울특별시 송파구 가락로11길 8 1층(석촌동),11710-2021-00219,아트공인중개사사무소,02-6405-1123,박성진,송파구,유,2021-08-27
송파동,서울특별시 송파구 백제고분로41길 27 1층(송파동),11710-2021-00191,해피공인중개사사무소,02-418-8182,김태형,송파구,유,2021-07-19
석촌동,서울특별시 송파구 송파대로37길 44 1층(석촌동),11710-2021-00183,송파황금공인중개사사무소,-,전은주,송파구,유,2021-07-09
송파동,서울특별시 송파구 오금로18길 4-10 1층(송파동),11710-2021-00115,타워공인중개사사무소,02-424-0359,이규화,송파구,유,2021-04-13
송파동,서울특별시 송파구 송파대로38길 2-9 112호(송파동),11710-2021-00092,꽃부동산중개,02-6396-5959,이대숙,송파구,유,2021-03-25
석촌동,서울특별시 송파구 백제고분로40길 4-7 3층(석촌동),11710-2021-00051,청솔공인중개사사무소,-,양동일,송파구,유,2021-02-10
석촌동,서울특별시 송파구 백제고분로40길 36 1층(석촌동),11710-2021-00007,신화공인중개사사무소,02-418-8004,권한오,송파구,유,2021-01-06
석촌동,"서울특별시 송파구 삼학사로 32 3층(석촌동, YH빌딩)",11710-2021-00005,보아스공인중개사사무소,02-6338-5433,송경원,송파구,유,2021-01-04
석촌동,서울특별시 송파구 백제고분로33길 15 1층(석촌동),11710-2020-00284,VIP공인중개사사무소,"02-421-7400, 02-421-7399, 070-7715-8280. 02-421-7397",노미영,송파구,유,2020-11-05
석촌동,서울특별시 송파구 가락로6길 4-8 101호(석촌동),11710-2021-00098,리안공인중개사사무소,02-3432-7117,이성훈,송파구,유,2020-11-05
석촌동,서울특별시 송파구 송파대로43길 16 1층(석촌동),11710-2020-00278,금오공인중개사사무소,02-424-7337,이연옥,송파구,유,2020-10-28
석촌동,서울특별시 송파구 삼학사로6길 16-1 102호(석촌동),11710-2020-00266,현대부동산공인중개사사무소,02-419-1589,하봉정,송파구,유,2020-10-12
석촌동,서울특별시 송파구 가락로11길 8 1층(석촌동),11710-2020-00258,래미안공인중개사사무소,02-421-7800,박재원,송파구,유,2020-10-06
송파동,"서울특별시 송파구 가락로 183 상가동, 2층44호(송파동, 한양아파트)",11710-2020-00218,도원공인중개사사무소,02-417-7937,김유정,송파구,유,2020-08-24
송파동,서울특별시 송파구 오금로32길 28 1층(송파동),11710-2020-00183,미래공인중개사사무소 ,02-413-7979,박성임,송파구,유,2020-07-21
석촌동,서울특별시 송파구 가락로 34 1층(석촌동),11710-2021-00226,당신의공인중개사사무소,02-412-4258,김동혁,송파구,유,2020-06-25
송파동,서울특별시 송파구 백제고분로46길 43 1층(송파동),11710-2020-00154,롯데부동산공인중개사사무소,-,안상해,송파구,유,2020-06-18
송파동,서울특별시 송파구 백제고분로41길 7-15 2층 (송파동),11710-2020-00141,주식회사 부동산중개법인지피랜드,-,정두철,송파구,유,2020-06-09
석촌동,서울특별시 송파구 송파대로 459 1층(석촌동),11710-2020-00102,탐진공인중개사사무소,02-422-2482,박세영,송파구,유,2020-03-30
석촌동,서울특별시 송파구 가락로11길 8 1층 (석촌동),11710-2020-00076,이음부동산공인중개사사무소,-,김경이,송파구,유,2020-02-24
송파동,"서울특별시 송파구 오금로32길 31 상가동 113, 114호(송파동,래미안파인탑)",11710-2020-00053,스타래미안부동산중개법인유한회사,02-422-2229,최성호,송파구,유,2020-02-13
석촌동,서울특별시 송파구 백제고분로40길 14 1층(석촌동),11710-2019-00371,사랑공인중개사사무소,02-416-8949,이석봉,송파구,유,2019-12-31
송파동,서울특별시 송파구 송이로4길 1 1층(송파동),11710-2019-00372,골드부동산공인중개사사무소,02-417-8849,강영규,송파구,유,2019-12-31
송파동,서울특별시 송파구 오금로18길 6 1층(송파동),11710-2019-00313,명성공인중개사사무소,02-414-4790,이종석,송파구,유,2019-11-06
송파동,"서울특별시 송파구 오금로32길 14 101동 116호(송파동,송파삼성래미안상가)",11710-2019-00297,부동산플러스공인중개사사무소,02-420-8866,남찬희,송파구,유,2019-10-22
석촌동,"서울특별시 송파구 가락로 103 102호(석촌동,엄마손백화점)",11710-2019-00260,엄마손공인중개사사무소,-,이서구,송파구,유,2019-08-26
송파동,서울특별시 송파구 백제고분로 383 3층(송파동),11710-2022-00242,주식회사해담부동산중개법인,02-552-4300,김효실,송파구,유,2019-06-19
석촌동,서울특별시 송파구 송파대로37길 46 1층(석촌동),11710-2019-00197,아성공인중개사사무소,02-427-0777,김승희,송파구,유,2019-06-10
송파동,서울특별시 송파구 오금로 224 1층(송파동),11710-2019-00192,송파나루공인중개사사무소,02-416-5088,박혁민,송파구,유,2019-06-03
송파동,서울특별시 송파구 백제고분로41길 22 1층(송파동),11710-2019-00132,OK공인중개사사무소 ,02-422-8686\n02-422-3040,이영일,송파구,유,2019-03-27
송파동,서울특별시 송파구 송파대로38길 2-9 111호(송파동),11710-2019-00092,헬리오동심공인중개사사무소,02-401-2882,하유선,송파구,유,2019-03-05
석촌동,서울특별시 송파구 가락로 79 1층(석촌동),11710-2019-00089,제일공인중개사사무소,02-419-0055,정경락,송파구,유,2019-02-28
석촌동,서울특별시 송파구 백제고분로40길 11 1층(석촌동),11710-2019-00036,송파하늘공인중개사사무소,02-422-6300,김태주,송파구,유,2019-01-23
송파동,서울특별시 송파구 송파대로36길 9 1층(송파동),11710-2019-00024,녹색시대공인중개사사무소,02-419-0464,한귀만,송파구,유,2019-01-09
석촌동,서울특별시 송파구 가락로11길 21 1층(석촌동),11710-2018-00500,참좋은공인중개사사무소,02-2203-4994,홍석랑,송파구,유,2018-12-19
석촌동,서울특별시 송파구 백제고분로34길 23 1층(석촌동),11710-2018-00463,행복한공인중개사사무소,02-423-2022,정혜윤,송파구,유,2018-11-21
석촌동,서울특별시 송파구 송파대로37길 90 1층(석촌동),11710-2018-00457,해누리공인중개사사무소,02-423-2300,홍성희,송파구,유,2018-11-16
송파동,서울특별시 송파구 오금로32길 30 1층(송파동),11710-2018-00447,하나공인중개사사무소,02-420-7200,장미주,송파구,유,2018-11-07
석촌동,서울특별시 송파구 백제고분로39길 31 501호(석촌동),11710-2018-00438,주식회사 부동산중개법인지원,-,배정아,송파구,무,2018-11-01
송파동,서울특별시 송파구 백제고분로 382 1층(송파동),11710-2018-00429,주식회사 전국부동산중개법인,"02-420-0008, 02-424-8008",이연옥,송파구,유,2018-10-25
석촌동,서울특별시 송파구 백제고분로34길 44 1층(석촌동),11710-2018-00364,송파헬리오시티오렌지공인중개사사무소,-,김유라,송파구,유,2018-09-05
석촌동,서울특별시 송파구 가락로6길 3 1층(석촌동),11710-2018-00285,송파복드림공인중개사사무소,02-565-6776,이경희,송파구,유,2018-07-04
석촌동,서울특별시 송파구 가락로11길 8 1층(석촌동),11710-2018-00252,수주공인중개사사무소,2042-8888,조완묵,송파구,유,2018-06-04
송파동,"서울특별시 송파구 가락로 183 2층 22호(송파동, 한양아파트상가)",11710-2018-00521,MBA공인중개사사무소,02-3012-4080,이병길,송파구,유,2018-05-23
석촌동,"서울특별시 송파구 가락로 103 108호(석촌동, 엄마손백화점)",11710-2018-00157,가야공인중개사사무소,-,조정식,송파구,유,2018-03-29
석촌동,서울특별시 송파구 백제고분로36가길 17 1층(석촌동),11710-2018-00143,3·3공인중개사사무소,02-420-3434,허성길,송파구,유,2018-03-23
송파동,서울특별시 송파구 오금로24길 41 1층(송파동),11710-2018-00118,천지공인중개사사무소,02-416-6500,임성주,송파구,유,2018-03-14
송파동,"서울특별시 송파구 백제고분로41길 5 ,1층 (송파동)",11710-2018-00087,남궁공인중개사사무소,02-425-4300,남궁희,송파구,유,2018-02-26
석촌동,"서울특별시 송파구 송파대로37길 30-1 ,1층 (석촌동)",11710-2018-00052,송파미래공인중개사사무소,-,최은자,송파구,유,2018-02-02
송파동,서울특별시 송파구 오금로 202 4층(송파동),11710-2018-00053,부동산벨리공인중개사사무소,-,김율,송파구,유,2018-02-02
석촌동,서울특별시 송파구 삼학사로10길 18 103호(석촌동),11710-2018-00042,로얄공인중개사사무소,02-422-9997,윤형준,송파구,유,2018-01-25
송파동,서울특별시 송파구 가락로 157 1층(송파동),11710-2018-00022,SH공인중개사사무소,02-426-4555,박병집,송파구,유,2018-01-10
송파동,서울특별시 송파구 송파대로 406 1층(송파동),11710-2017-00414,랜드공인중개사사무소,02-425-1060,김현수,송파구,유,2017-12-04
석촌동,"서울특별시 송파구 백제고분로40길 5 , 1층 (석촌동)",11710-2017-00408,송파에이스공인중개사사무소,02-421-1369,정봉임,송파구,유,2017-11-30
석촌동,"서울특별시 송파구 백제고분로39길 18 1층 (석촌동, 지원빌딩)",11710-2017-00390,곰돌이공인중개사사무소,02-414-3336,박상하,송파구,유,2017-11-01
송파동,서울특별시 송파구 백제고분로41길 7-23 1층 (송파동),11710-2017-00389,정상부동산공인중개사사무소,02-563-9223,김상국,송파구,유,2017-11-01
석촌동,서울특별시 송파구 백제고분로33길 31-6 지1층(석촌동),11710-2017-00218,성공공인중개사사무소,-,유인환,송파구,유,2017-06-02
송파동,"서울특별시 송파구 오금로 252 , 상가동 2층11호 (송파동, 가락삼익맨숀)",11710-2017-00083,삼익공인중개사사무소,02-414-4321,오승연,송파구,유,2017-02-27
송파동,"서울특별시 송파구 백제고분로42길 18 1층 (송파동, 선경빌딩)",11710-2017-00045,삼성부동산컨설팅공인중개사사무소,02-413-8989,조우연,송파구,유,2017-01-25
석촌동,"서울특별시 송파구 송파대로37길 4 , 1층 (석촌동)",11710-2017-00027,헬리오청구공인중개사사무소,02-400-9922,조영남,송파구,유,2017-01-13
석촌동,서울특별시 송파구 가락로11길 6-18 1층 (석촌동),11710-2017-00020,소담공인중개사사무소,02-422-9444,류경숙,송파구,유,2017-01-10
석촌동,서울특별시 송파구 백제고분로39길 10 1층(석촌동),11710-2016-00436,동양공인중개사사무소,02-414-4848,김강진,송파구,유,2016-11-21
석촌동,서울특별시 송파구 가락로11길 16 101호 (석촌동),11710-2016-00341,좋은집공인중개사사무소,02-415-2555,엄서영,송파구,유,2016-09-13
송파동,"서울특별시 송파구 오금로32길 14 101동 113호 (송파동, 송파삼성래미안아파트)",11710-2016-00290,쉐르빌공인중개사사무소,02-419-0088,이정원,송파구,유,2016-07-29
송파동,서울특별시 송파구 가락로 169 1층 (송파동),11710-2016-00280,연세공인중개사사무소,414-8911,오중근,송파구,유,2016-07-21
송파동,서울특별시 송파구 오금로 202 4층(송파동),11710-2016-00229,부동산캠프공인중개사사무소,02-423-8272,이봉기,송파구,유,2016-06-10
석촌동,서울특별시 송파구 백제고분로40길 26 1층(석촌동),11710-2016-00167,매일공인중개사사무소,02-414-2377,류경숙,송파구,유,2016-04-21
석촌동,서울특별시 송파구 백제고분로40길 13 1층(석촌동),11710-2016-00153,한일공인중개사사무소,02-413-3949,권현순,송파구,유,2016-04-12
석촌동,서울특별시 송파구 백제고분로40길 19 102호(석촌동),11710-2016-00083,다올공인중개사사무소,02-420-4884,최재우,송파구,유,2016-03-09
송파동,서울특별시 송파구 가락로 176 103호(송파동),11710-2016-00064,신라공인중개사사무소,02-424-9700,김영동,송파구,유,2016-02-29
송파동,서울특별시 송파구 송파대로36길 32 1층(송파동),11710-2016-00049,홍익공인중개사사무소,"02-422-4959, 02-402-0006",박태근,송파구,유,2016-02-05
석촌동,서울특별시 송파구 가락로 66 1층 (석촌동),11710-2015-00322,남일공인중개사사무소,413-6500,김익실,송파구,유,2015-12-22
송파동,"서울특별시 송파구 석촌호수로 298 103호(송파동,잠실대우레이크월드)",11740-2022-00038-001,알톡부동산중개주식회사 분사무소,-,김서연,강동구,유,2015-11-02
송파동,"서울특별시 송파구 오금로32길 14 101동 103호 (송파동, 송파삼성래미안아파트)",11710-2015-00244,소망공인중개사사무소,2042-4242,전은경,송파구,유,2015-09-15
석촌동,서울특별시 송파구 백제고분로33길 16 1층 (석촌동),11710-2015-00213,OK공인중개사사무소,02-2203-1777,김기형,송파구,유,2015-08-17
송파동,서울특별시 송파구 백제고분로45길 8 1층 (송파동),11710-2015-00203,탑공인중개사사무소,02-422-0049,홍경화,송파구,유,2015-08-03
석촌동,서울특별시 송파구 가락로11길 35 1층(석촌동),11710-2015-00140,대지공인중개사사무소,"416-1444, 424-9876",윤여학,송파구,유,2015-05-18
석촌동,"서울특별시 송파구 백제고분로39길 12 103호 (석촌동, 서희빌딩)",11710-2015-00136,금탑공인중개사사무소,02-418-9877,임창미,송파구,유,2015-05-13
석촌동,서울특별시 송파구 백제고분로39길 8 1층 (석촌동),11710-2015-00123,상상공인중개사사무소,02-416-4116,변현수,송파구,유,2015-04-29
송파동,서울특별시 송파구 백제고분로45길 16 1층 (송파동),11710-2015-00098,호수공인중개사사무소,"02-417-0330, 02-417-0090",이상미,송파구,유,2015-04-06
석촌동,"서울특별시 송파구 가락로5길 29 101호(석촌동, 제이원)",26350-2015-00061,베스트공인중개사사무소,"02-425-6190, 424-5242",박시후,송파구,유,2015-03-19
석촌동,서울특별시 송파구 백제고분로40길 16 1층 (석촌동),11710-2015-00071,플러스공인중개사사무소,02-417-2885,박종욱,송파구,유,2015-03-17
송파동,서울특별시 송파구 백제고분로45길 26 1층 (송파동),11710-2015-00064,대한공인중개사사무소,424-2303,이순희,송파구,유,2015-03-11
송파동,서울특별시 송파구 오금로18길 3 1층(송파동),9253-9153,알찬공인중개사사무소,414-7772,김중수,송파구,유,2014-08-04
송파동,"서울특별시 송파구 오금로32길 31 상가동 104호,106호 (송파동, 래미안파인탑아파트)",9253-9144,송파래미안공인중개사사무소,02-418-3232,표형종,송파구,유,2014-07-22
석촌동,서울특별시 송파구 송파대로37길 4 1층(석촌동),9253-9126,가락랜드공인중개사사무소,02-414-3900,김해경,송파구,유,2014-07-09
송파동,서울특별시 송파구 송이로 26 1층 (송파동),9253-9085,한스공인중개사사무소,02-416-8484,김철호,송파구,유,2014-05-02
송파동,서울특별시 송파구 백제고분로41길 19-1 1층 (송파동),9253-9086,해오름공인중개사사무소,425-1149,장희숙,송파구,유,2014-05-02
석촌동,서울특별시 송파구 가락로5길 10 1층(석촌동),9253-9034,대원공인중개사사무소,6053-8895,견종강,송파구,유,2014-03-13
송파동,서울특별시 송파구 백제고분로41길 32 1층(송파동),9253-9030,부동산월드공인중개사사무소,02-412-9588,이상호,송파구,유,2014-03-12
석촌동,서울특별시 송파구 가락로 79 1층(석촌동),9253-8995,대박공인중개사사무소,"02-418-3660,412-0066,402-5970,3401-8555",이우용,송파구,유,2014-01-27
송파동,"서울특별시 송파구 오금로32길 14 101동 109가호(송파동, 송파삼성래미안아파트)",9253-8974,래미안공인중개사사무소,2203-5100,이승기,송파구,유,2014-01-14
송파동,서울특별시 송파구 백제고분로 426 1층 (송파동),11710-2015-00222,신성공인중개사사무소,02-424-7400,노건오,송파구,유,2014-01-13
석촌동,서울특별시 송파구 백제고분로40길 6 (석촌동),9253-8923,희망공인중개사사무소,413-1005,이미희,송파구,유,2013-11-04
송파동,서울특별시 송파구 백제고분로46길 3 1층(송파동),9253-8885,한국공인중개사사무소,-,김미정,송파구,유,2013-08-20
송파동,서울특별시 송파구 백제고분로42길 20 1층(송파동),9253-8755,대림공인중개사사무소,422-0016,곽용균,송파구,유,2013-05-01
송파동,서울특별시 송파구 가락로 170 1층(송파동),9253-8718,강남공인중개사사무소,02-415-6111,이명식,송파구,유,2013-03-13
석촌동,서울특별시 송파구 백제고분로33길 12 (석촌동),9253-8677,대한공인중개사사무소,02-416-3333,이샘,송파구,유,2013-01-17
송파동,서울특별시 송파구 백제고분로42길 14 1층 (송파동),9253-8522,평안공인중개사사무소,02-421-2449,오문열,송파구,유,2012-05-07
송파동,서울특별시 송파구 송파대로 448-1 1층(송파동),9253-8467,현대공인중개사사무소,02-422-6464,이동은,송파구,유,2012-02-28
석촌동,서울특별시 송파구 백제고분로34길 28 1층 (석촌동),9253-8445,토마토공인중개사사무소,02-414-7784,이이양,송파구,유,2012-02-07
송파동,"서울특별시 송파구 오금로32길 31 상가동 111호 (송파동, 래미안송파파인탑)",9253-8424,오렌지탑(단지내)공인중개사사무소,414-0010,김미정,송파구,유,2012-01-10
송파동,"서울특별시 송파구 오금로32길 31 상가동 104호,106호 (송파동, 래미안송파파인탑)",9253-8419,파인탑공인중개사사무소,418-7272,김인숙,송파구,유,2012-01-09
송파동,서울특별시 송파구 가락로28길 13 (송파동),9253-8287,나라공인중개사사무소,418-1414,박양진,송파구,유,2011-08-22
석촌동,서울특별시 송파구 송파대로 423 1층 (석촌동),9253-8278,신공간공인중개사사무소,417-1112,박희수,송파구,유,2011-08-09
송파동,서울특별시 송파구 백제고분로42길 16 (송파동),9253-8266,중앙공인중개사사무소,415-3131,김선화,송파구,유,2011-07-19
송파동,서울특별시 송파구 석촌호수로 268 경남레이크파크 107호(송파동),9253-8218,(주)한마루부동산중개법인,"415-7244, 415-7575, 415-7144, 415-0944",위숙희,송파구,유,2011-06-01
석촌동,"서울특별시 송파구 가락로12길 4 ,102호 (석촌동, 파크팰리스)",9253-8194,헬리오시티공인중개사사무소,02-423-5001,김경환,송파구,유,2011-05-09
석촌동,서울특별시 송파구 백제고분로39길 18 1층 (석촌동),9253-8106,스타공인중개사사무소,02-425-6611,이한구,송파구,유,2011-02-22
석촌동,"서울특별시 송파구 가락로11길 36 상가동 103호(석촌동, 잠실한솔아파트상가)",9253-8084,한솔탑공인중개사사무소,02-412-0022,이광민,송파구,유,2011-01-31
송파동,서울특별시 송파구 백제고분로45길 36 1층 (송파동),9253-8055,주머니공인중개사사무소,02-414-8984,임희중,송파구,유,2011-01-03
송파동,서울특별시 송파구 송이로2길 30 103호 (송파동),9253-8052,대운공인중개사사무소,416-7745,김화숙,송파구,유,2010-12-30
석촌동,"서울특별시 송파구 석촌호수로 188 115호 (석촌동, 신동아로쟌뷰)",9253-7968,롯데월드공인중개사사무소,02-412-8985,고연수,송파구,유,2010-10-06
송파동,서울특별시 송파구 백제고분로41길 17 1층(송파동),9253-7920,송파효자공인중개사사무소,420-5150,강주연,송파구,유,2010-07-22
송파동,서울특별시 송파구 백제고분로46길 8 (송파동),9253-7919,골드공인중개사사무소,424-8979,윤기현,송파구,유,2010-07-20
송파동,서울특별시 송파구 백제고분로46길 39 1층 (송파동),9253-7891,한강공인중개사사무소,419-3939,최정희,송파구,유,2010-06-30
송파동,서울특별시 송파구 가락로 167 (송파동),9253-7875,마루공인중개사사무소,413-6623,금용방,송파구,유,2010-06-17
송파동,서울특별시 송파구 백제고분로 431 1층(송파동),9253-7845,세종공인중개사사무소,424-6611,홍영준,송파구,유,2010-05-14
송파동,서울특별시 송파구 백제고분로41길 12 1층 (송파동),9253-7846,은혜공인중개사사무소,02-422-0018,이흥영,송파구,유,2010-05-14
송파동,"서울특별시 송파구 오금로24길 13 11호(송파동,미성상가)",9253-7708,유명공인중개사사무소,02-416-3002,최은영,송파구,유,2010-02-22
석촌동,서울특별시 송파구 백제고분로39길 24 1층 (석촌동),11710-2016-00255,송파대장공인중개사사무소,02-414-2288,함준석,송파구,유,2009-08-21
송파동,서울특별시 송파구 백제고분로46길 10 (송파동),9253-7429,정은공인중개사사무소,02-423-0080,송재원,송파구,유,2009-07-30
석촌동,서울특별시 송파구 송파대로37길 4-21 1층 (석촌동),9253-7232,대학사공인중개사사무소,402-2404,김남조,송파구,유,2009-03-04
석촌동,서울특별시 송파구 백제고분로39길 5 1층 (석촌동),11710-2015-00262,석촌공인중개사사무소,416-1214,서태범,송파구,유,2008-12-05
석촌동,서울특별시 송파구 삼학사로6길 18 1층(석촌동),9253-7060,119공인중개사사무소,02-415-1119,김장용,송파구,유,2008-10-09
송파동,서울특별시 송파구 송파대로40길 6 (송파동),9253-6996,서울공인중개사사무소,419-9494,홍천해,송파구,유,2008-08-12
송파동,서울특별시 송파구 석촌호수로 268 106호(송파동),9253-6763,부동산링크공인중개사사무소,2042-2700,이상구,송파구,유,2008-03-07
송파동,서울특별시 송파구 송이로 27 1층 (송파동),9253-6697,로얄공인중개사사무소,416-8115,시성심,송파구,유,2008-01-31
송파동,서울특별시 송파구 가락로 183 한양아파트상가 1층12호(송파동),9253-6366,화랑공인중개사사무소,414-8884,정윤용,송파구,유,2007-05-18
송파동,서울특별시 송파구 백제고분로 383 2층 (송파동),9253-6351,(주)리더스부동산중개법인,"409-7777, 420-4600",정란,송파구,유,2007-05-04
송파동,서울특별시 송파구 백제고분로46길 26 1층(송파동),9253-6128,한송422-8945공인중개사사무소,02-422-8945,한인복,송파구,유,2007-01-19
석촌동,서울특별시 송파구 백제고분로39길 26 (석촌동),9253-6094,한국공인중개사사무소,02-419-9001,최익근,송파구,유,2006-12-29
석촌동,서울특별시 송파구 백제고분로33길 14 (석촌동),9253-6088,대성공인중개사사무소,02-420-5454,최원희,송파구,유,2006-12-26
송파동,서울특별시 송파구 백제고분로42길 6-9 B01호 (송파동),11710-2016-00274,써브대림공인중개사사무소,02-425-0915,장선주,송파구,유,2006-10-11
송파동,서울특별시 송파구 가락로28길 15 (송파동),9253-5760,송파공인중개사사무소,412-0080,권태관,송파구,유,2006-06-02
송파동,서울특별시 송파구 송파대로36가길 15-22 1층 (송파동),9253-5747,청호공인중개사사무소,02-3432-4989,이봉수,송파구,유,2006-05-26
송파동,서울특별시 송파구 백제고분로42길 11 (송파동),9253-5697,대신공인중개사사무소,420-5656,강영구,송파구,유,2006-05-04
송파동,서울특별시 송파구 가락로 152 (송파동),9253-5668,21세기공인중개사사무소,418-8800,강천봉,송파구,유,2006-04-25
석촌동,"서울특별시 송파구 백제고분로39길 15 ,101호 (석촌동)",9253-5626,스피드공인중개사사무소,418-3585,황한숙,송파구,유,2006-04-04
석촌동,서울특별시 송파구 송파대로37길 48 1층(석촌동),9253-5404,우리헬리오공인중개사사무소,02-412-7766,서승원,송파구,유,2005-12-27
송파동,서울특별시 송파구 백제고분로41길 7 (송파동),9253-5382,송파공인중개사사무소,414-1145,김상철,송파구,유,2005-12-09
송파동,서울특별시 송파구 오금로 252 상가 202호(송파동),9253-5381,이화공인중개사사무소,414-8001,최창영,송파구,유,2005-12-09
석촌동,"서울특별시 송파구 석촌호수로 210 104호 (석촌동, 석촌호수 효성해링턴타워)",9250-6958,세종공인중개사사무소,02-421-2244,윤석진,송파구,유,2005-10-25
송파동,"서울특별시 송파구 석촌호수로 284 508호(송파동,현대레이크빌)",11710-2022-00233,도시개발공인중개사사무소,-,김삼만,송파구,유,2005-10-21
송파동,서울특별시 송파구 오금로 252 상가 123호 (송파동),9253-5113,오성공인중개사사무소,02-425-1213,이진원,송파구,유,2005-08-03
