구분,주소,등록번호,cmpNm,연락처,대표,sggNm,보증보험,REG_YMD
석촌동,서울특별시 송파구 백제고분로40길 26 1층(석촌동),11710-2016-00167,매일공인중개사사무소,02-414-2377,류경숙,송파구,유,20160421
석촌동,서울특별시 송파구 석촌호수로18길 14 (석촌동),9253-4847,미성공인중개사사무소,424-0006,김용은,송파구,유,20050302
석촌동,서울특별시 송파구 백제고분로39길 27 1층(석촌동),11710-2022-00036,바른부동산중개,"02-422-5551, 02-415-8222, 02-425-4441, 02-6482-7000",최주아,송파구,유,20220118
석촌동,"서울특별시 송파구 가락로5길 29 101호(석촌동, 제이원)",26350-2015-00061,베스트공인중개사사무소,"02-425-6190, 424-5242",박시후,송파구,유,20150319
석촌동,"서울특별시 송파구 삼학사로 32 3층(석촌동, YH빌딩)",11710-2021-00005,보아스공인중개사사무소,02-6338-5433,송경원,송파구,유,20210104
석촌동,서울특별시 송파구 백제고분로40길 14 1층(석촌동),11710-2019-00371,사랑공인중개사사무소,02-416-8949,이석봉,송파구,유,20191231
석촌동,서울특별시 송파구 삼학사로18길 16 103호 (석촌동),11710-2022-00248,삼성공인중개사사무소,02-412-2500,김은경,송파구,유,20221005
석촌동,서울특별시 송파구 백제고분로39길 8 1층 (석촌동),11710-2015-00123,상상공인중개사사무소,02-416-4116,변현수,송파구,유,20150429
석촌동,서울특별시 송파구 백제고분로39길 5 1층 (석촌동),11710-2015-00262,석촌공인중개사사무소,416-1214,서태범,송파구,유,20081205
석촌동,서울특별시 송파구 백제고분로33길 31-6 지1층(석촌동),11710-2017-00218,성공공인중개사사무소,-,유인환,송파구,유,20170602
석촌동,"서울특별시 송파구 석촌호수로 210 104호 (석촌동, 석촌호수 효성해링턴타워)",9250-6958,세종공인중개사사무소,02-421-2244,윤석진,송파구,유,20051025
석촌동,서울특별시 송파구 백제고분로39길 9 1층 (석촌동),9253-4657,세진공인중개사사무소,413-7733,박수자,송파구,유,20040902
석촌동,서울특별시 송파구 가락로11길 6-18 1층 (석촌동),11710-2017-00020,소담공인중개사사무소,02-422-9444,류경숙,송파구,유,20170110
석촌동,서울특별시 송파구 백제고분로40길 4 (석촌동),9253-3690,송파공인중개사사무소,02-414-9455,이홍배,송파구,유,20030217
석촌동,서울특별시 송파구 백제고분로39길 24 1층 (석촌동),11710-2016-00255,송파대장공인중개사사무소,02-414-2288,함준석,송파구,유,20090821
석촌동,"서울특별시 송파구 송파대로37길 30-1 ,1층 (석촌동)",11710-2018-00052,송파미래공인중개사사무소,-,최은자,송파구,유,20180202
석촌동,서울특별시 송파구 가락로6길 3 1층(석촌동),11710-2018-00285,송파복드림공인중개사사무소,02-565-6776,이경희,송파구,유,20180704
석촌동,"서울특별시 송파구 백제고분로40길 5 , 1층 (석촌동)",11710-2017-00408,송파에이스공인중개사사무소,02-421-1369,정봉임,송파구,유,20171130
석촌동,서울특별시 송파구 백제고분로40길 11 1층(석촌동),11710-2019-00036,송파하늘공인중개사사무소,02-422-6300,김태주,송파구,유,20190123
석촌동,서울특별시 송파구 백제고분로34길 44 1층(석촌동),11710-2018-00364,송파헬리오시티오렌지공인중개사사무소,-,김유라,송파구,유,20180905
석촌동,서울특별시 송파구 송파대로37길 44 1층(석촌동),11710-2021-00183,송파황금공인중개사사무소,-,전은주,송파구,유,20210709
석촌동,서울특별시 송파구 가락로11길 8 1층(석촌동),11710-2018-00252,수주공인중개사사무소,2042-8888,조완묵,송파구,유,20180604
석촌동,서울특별시 송파구 백제고분로39길 18 1층 (석촌동),9253-8106,스타공인중개사사무소,02-425-6611,이한구,송파구,유,20110222
석촌동,"서울특별시 송파구 백제고분로39길 15 ,101호 (석촌동)",9253-5626,스피드공인중개사사무소,418-3585,황한숙,송파구,유,20060404
석촌동,서울특별시 송파구 송파대로 423 1층 (석촌동),9253-8278,신공간공인중개사사무소,417-1112,박희수,송파구,유,20110809
석촌동,서울특별시 송파구 삼학사로12길 14 1층(석촌동),11710-2022-00115,신한공인중개사사무소,"02-420-6420, 02-417-4894",박진우,송파구,유,20220405
석촌동,서울특별시 송파구 백제고분로40길 36 1층(석촌동),11710-2021-00007,신화공인중개사사무소,02-418-8004,권한오,송파구,유,20210106
석촌동,서울특별시 송파구 송파대로37길 46 1층(석촌동),11710-2019-00197,아성공인중개사사무소,02-427-0777,김승희,송파구,유,20190610
석촌동,서울특별시 송파구 가락로11길 8 1층(석촌동),11710-2021-00219,아트공인중개사사무소,02-6405-1123\n010-8890-9887,박성진,송파구,유,20210827
석촌동,"서울특별시 송파구 가락로 103 102호(석촌동,엄마손백화점)",11710-2019-00260,엄마손공인중개사사무소,-,이서구,송파구,유,20190826
석촌동,서울특별시 송파구 송파대로37길 48 1층(석촌동),9253-5404,우리헬리오공인중개사사무소,02-412-7766,서승원,송파구,유,20051227
석촌동,서울특별시 송파구 가락로11길 8 1층 (석촌동),11710-2020-00076,이음부동산공인중개사사무소,-,김경이,송파구,유,20200224
석촌동,서울특별시 송파구 가락로5길 31-11 101호(석촌동),11710-2022-00035,정공인중개사사무소,-,정용선,송파구,유,20220118
석촌동,서울특별시 송파구 가락로 79 1층(석촌동),11710-2019-00089,제일공인중개사사무소,02-419-0055,정경락,송파구,유,20190228
석촌동,서울특별시 송파구 가락로12길 5 1층(석촌동),9253-4909,제일공인중개사사무소,"400-6626, 400-6627",박영이,송파구,유,20050331
석촌동,서울특별시 송파구 가락로11길 16 101호 (석촌동),11710-2016-00341,좋은집공인중개사사무소,02-415-2555,엄서영,송파구,유,20160913
석촌동,서울특별시 송파구 백제고분로39길 14 (석촌동),9253-4597,주머니공인중개사사무소,02-3431-8200,백남준,송파구,유,20040629
석촌동,서울특별시 송파구 백제고분로39길 31 501호(석촌동),11710-2018-00438,주식회사 부동산중개법인지원,-,배정아,송파구,무,20181101
석촌동,서울특별시 송파구 가락로 102 지하1층[503호](석촌동),11650-2021-00199-003,주식회사온택트부동산중개파트너스(송파점),070-8805-9312,박정도,서초구,유,20220419
석촌동,서울특별시 송파구 가락로11길 21 1층(석촌동),11710-2018-00500,참좋은공인중개사사무소,02-2203-4994,홍석랑,송파구,유,20181219
석촌동,서울특별시 송파구 삼학사로6길 16-1 1층(석촌동),9253-2100,창신공인중개사사무소,408-2121,이영석,송파구,유,19990728
석촌동,서울특별시 송파구 백제고분로40길 4-7 3층(석촌동),11710-2021-00051,청솔공인중개사사무소,-,양동일,송파구,유,20210210
석촌동,서울특별시 송파구 송파대로 459 1층(석촌동),11710-2020-00102,탐진공인중개사사무소,02-422-2482,박세영,송파구,유,20200330
석촌동,서울특별시 송파구 백제고분로34길 28 1층 (석촌동),9253-8445,토마토공인중개사사무소,02-414-7784,이이양,송파구,유,20120207
석촌동,서울특별시 송파구 백제고분로40길 16 1층 (석촌동),11710-2015-00071,플러스공인중개사사무소,"02-417-2885, 415-4985, 415-4988",박종욱,송파구,유,20150317
석촌동,서울특별시 송파구 백제고분로39길 16 (석촌동),9253-2553,하버드랜드공인중개사사무소,2203-9292,서덕모,송파구,유,20000928
석촌동,서울특별시 송파구 백제고분로39길 26 (석촌동),9253-6094,한국공인중개사사무소,02-419-9001,최익근,송파구,유,20061229
석촌동,서울특별시 송파구 가락로16길 4 (석촌동),9253-2006,한라공인중개사사무소,424-4800,김원걸,송파구,유,19990423
석촌동,서울특별시 송파구 가락로11길 11 1층 (석촌동),9253-3329,한솔공인중개사사무소,"420-8400, 419-4050",서점숙,송파구,유,20020614
석촌동,"서울특별시 송파구 가락로11길 36 상가동 103호(석촌동, 잠실한솔아파트상가)",9253-8084,한솔탑공인중개사사무소,02-412-0022,이광민,송파구,유,20110131
석촌동,서울특별시 송파구 백제고분로40길 13 1층(석촌동),11710-2016-00153,한일공인중개사사무소,02-413-3949,권현순,송파구,유,20160412
석촌동,서울특별시 송파구 백제고분로34길 15 (석촌동),9253-4341,합동공인중개사사무소,02-423-8949,김정희,송파구,유,20040127
석촌동,서울특별시 송파구 백제고분로34길 15 (석촌동),나9252-19-150,합동부동산중개인사무소,414-9036,여은덕,송파구,유,19840619
석촌동,서울특별시 송파구 송파대로37길 90 1층(석촌동),11710-2018-00457,해누리공인중개사사무소,02-423-2300,홍성희,송파구,유,20181116
석촌동,서울특별시 송파구 백제고분로34길 23 1층(석촌동),11710-2018-00463,행복한공인중개사사무소,02-423-2022,정혜윤,송파구,유,20181121
석촌동,"서울특별시 송파구 가락로12길 4 ,102호 (석촌동, 파크팰리스)",9253-8194,헬리오시티공인중개사사무소,02-423-5001,김경환,송파구,유,20110509
석촌동,서울특별시 송파구 송파대로37길 8 1층 (석촌동),11710-2022-00093,헬리오시티두꺼비(02-442-1000)공인중개사사무소,02-442-1000,구현모,송파구,유,20220308
석촌동,"서울특별시 송파구 송파대로37길 4 , 1층 (석촌동)",11710-2017-00027,헬리오청구공인중개사사무소,02-400-9922,조영남,송파구,유,20170113
석촌동,서울특별시 송파구 삼학사로6길 16-1 102호(석촌동),11710-2020-00266,현대부동산공인중개사사무소,02-419-1589,하봉정,송파구,유,20201012
석촌동,서울특별시 송파구 백제고분로40길 6 (석촌동),9253-8923,희망공인중개사사무소,413-1005,이미희,송파구,유,20131104
송파동,서울특별시 송파구 백제고분로 383 2층 (송파동),9253-6351,(주)리더스부동산중개법인,"409-7777, 420-4600",정란,송파구,유,20070504
송파동,서울특별시 송파구 석촌호수로 268 경남레이크파크 107호(송파동),9253-8218,(주)한마루부동산중개법인,"415-7244, 415-7575, 415-7144, 415-0944",위숙희,송파구,유,20110601
송파동,서울특별시 송파구 가락로 152 (송파동),9253-5668,21세기공인중개사사무소,418-8800,강천봉,송파구,유,20060425
송파동,"서울특별시 송파구 가락로 183 2층 22호(송파동, 한양아파트상가)",11710-2018-00521,MBA공인중개사사무소,02-3012-4080,이병길,송파구,유,20180523
송파동,서울특별시 송파구 백제고분로41길 22 1층(송파동),11710-2019-00132,OK공인중개사사무소 ,02-422-8686\n02-422-3040,이영일,송파구,유,20190327
송파동,"서울특별시 송파구 오금로32길 31 근린생활시설동 115호(송파동, 래미안송파파인탑)",11710-2022-00149,OK파인탑단지내공인중개사사무소,02-414-1159,이계숙,송파구,유,20220503
송파동,서울특별시 송파구 가락로 157 1층(송파동),11710-2018-00022,SH공인중개사사무소,02-426-4555,박병집,송파구,유,20180110
송파동,"서울특별시 송파구 오금로24길 13 1층13호(송파동, 미성상가)",11710-2022-00006,가온공인중개사사무소,02-421-0088,김아름,송파구,유,20220105
송파동,서울특별시 송파구 가락로 170 1층(송파동),9253-8718,강남공인중개사사무소,02-415-6111,이명식,송파구,유,20130313
송파동,서울특별시 송파구 백제고분로46길 8 (송파동),9253-7919,골드공인중개사사무소,424-8979,윤기현,송파구,유,20100720
송파동,서울특별시 송파구 송이로4길 1 1층(송파동),11710-2019-00372,골드부동산공인중개사사무소,02-417-8849,강영규,송파구,유,20191231
송파동,서울특별시 송파구 송파대로44길 5 2층 (송파동),11710-2022-00255,공감부동산공인중개사사무소,-,남경근,송파구,유,20221020
송파동,서울특별시 송파구 백제고분로46길 29 1층(송파동),11710-2022-00118,국민공인중개사사무소,02-420-0047,손민식,송파구,유,20220405
송파동,서울특별시 송파구 송파대로38길 2-9 112호(송파동),11710-2021-00092,꽃부동산중개,02-6396-5959,이대숙,송파구,유,20210325
송파동,서울특별시 송파구 가락로28길 13 (송파동),9253-8287,나라공인중개사사무소,418-1414,박양진,송파구,유,20110822
송파동,서울특별시 송파구 백제고분로42길 32 1층 (송파동),11710-2022-00229,나무공인중개사사무소,02-6949-2616,정슬기,송파구,유,20220906
송파동,"서울특별시 송파구 백제고분로41길 5 ,1층 (송파동)",11710-2018-00087,남궁공인중개사사무소,"02-425-4300, 02-417-9600, 02-413-3300",남궁희,송파구,유,20180226
송파동,서울특별시 송파구 송파대로36길 9 1층(송파동),11710-2019-00024,녹색시대공인중개사사무소,02-419-0464,한귀만,송파구,유,20190109
송파동,서울특별시 송파구 가락로21길 58-1 101호 (송파동),11710-2022-00253,다우공인중개사사무소,-,유성규,송파구,무,20221014
송파동,서울특별시 송파구 백제고분로42길 20 1층(송파동),9253-8755,대림공인중개사사무소,422-0016,곽용균,송파구,유,20130501
송파동,서울특별시 송파구 백제고분로42길 11 (송파동),9253-5697,대신공인중개사사무소,420-5656,강영구,송파구,유,20060504
송파동,서울특별시 송파구 송이로2길 30 103호 (송파동),9253-8052,대운공인중개사사무소,416-7745,김화숙,송파구,유,20101230
송파동,서울특별시 송파구 백제고분로45길 26 1층 (송파동),11710-2015-00064,대한공인중개사사무소,424-2303,이순희,송파구,유,20150311
송파동,서울특별시 송파구 백제고분로 378 2층(송파동),11710-2022-00048,더원하우스공인중개사사무소,-,장은아,송파구,유,20220124
송파동,"서울특별시 송파구 석촌호수로 284 508호(송파동,현대레이크빌)",11710-2022-00233,도시개발공인중개사사무소,-,김삼만,송파구,유,20051021
송파동,"서울특별시 송파구 가락로 183 상가동, 2층44호(송파동, 한양아파트)",11710-2020-00218,도원공인중개사사무소,02-417-7937,김유정,송파구,유,20200824
송파동,서울특별시 송파구 송이로 24 1층(송파동),11710-2021-00275,라보로공인중개사사무소,02-1811-0767,남재우,송파구,유,20211115
송파동,"서울특별시 송파구 오금로32길 14 101동 109가호(송파동, 송파삼성래미안아파트)",9253-8974,래미안공인중개사사무소,2203-5100,이승기,송파구,유,20140114
송파동,서울특별시 송파구 송파대로 406 1층(송파동),11710-2017-00414,랜드공인중개사사무소,02-425-1060,김현수,송파구,유,20171204
송파동,"서울특별시 송파구 가락로28길 5 101동 101호(송파동, 더헤리움)",9253-4073,럭키공인중개사사무소,02-419-3735,정택만,송파구,유,20030902
송파동,서울특별시 송파구 송이로 27 1층 (송파동),9253-6697,로얄공인중개사사무소,416-8115,시성심,송파구,유,20080131
송파동,서울특별시 송파구 백제고분로46길 43 1층(송파동),11710-2020-00154,롯데부동산공인중개사사무소,-,안상해,송파구,유,20200618
송파동,서울특별시 송파구 가락로 139 1층 (송파동),11710-2022-00238,리빙홈공인중개사사무소,02-412-7744,박기연,송파구,유,20220926
송파동,서울특별시 송파구 가락로 167 (송파동),9253-7875,마루공인중개사사무소,413-6623,금용방,송파구,유,20100617
송파동,서울특별시 송파구 오금로18길 6 1층(송파동),11710-2019-00313,명성공인중개사사무소,02-414-4790,이종석,송파구,유,20191106
송파동,서울특별시 송파구 오금로32길 28 1층(송파동),11710-2020-00183,미래공인중개사사무소 ,02-413-7979,박성임,송파구,유,20200721
송파동,서울특별시 송파구 가락로28길 15 1층(송파동),11710-2022-00076,미성공인중개사사무소,02-418-8080,김창신,송파구,유,20220218
송파동,"서울특별시 송파구 오금로32길 44 101호(송파동, 현대상가)",9253-5104,반석공인중개사사무소,02-415-5989,한병석,송파구,유,20050729
송파동,"서울특별시 송파구 가락로 136 ,1층 (송파동)",가9252-2056,백마부동산중개인사무소,02-414-6600,한원석,송파구,유,20050708
송파동,서울특별시 송파구 석촌호수로 268 106호(송파동),9253-6763,부동산링크공인중개사사무소,2042-2700,이상구,송파구,유,20080307
송파동,서울특별시 송파구 오금로 202 4층(송파동),11710-2018-00053,부동산벨리공인중개사사무소,-,김율,송파구,유,20180202
송파동,서울특별시 송파구 백제고분로 423 1층 (송파동),9253-2820,부동산써브우리공인중개사사무소,02-423-4489,유호윤,송파구,유,20010608
송파동,서울특별시 송파구 백제고분로41길 32 1층(송파동),9253-9030,부동산월드공인중개사사무소,02-412-9588,이상호,송파구,유,20140312
송파동,서울특별시 송파구 오금로 202 4층(송파동),11710-2016-00229,부동산캠프공인중개사사무소,02-423-8272,이봉기,송파구,유,20160610
송파동,"서울특별시 송파구 오금로32길 14 101동 116호(송파동,송파삼성래미안상가)",11710-2019-00297,부동산플러스공인중개사사무소,02-420-8866,남찬희,송파구,유,20191022
송파동,서울특별시 송파구 오금로32길 14 삼성래미안(아) 101동 120호(송파동),9253-3010,부자촌공인중개사사무소,424-8840,강내원,송파구,유,20011214
송파동,"서울특별시 송파구 오금로32길 14 101동 112호 (송파동, 송파삼성래미안아파트)",9253-3043,삼삼공인중개사사무소,02-3431-8949,김인,송파구,유,20011226
송파동,"서울특별시 송파구 오금로24길 13 1층9호,1층10호(송파동, 미성상가)",11710-2021-00311,삼성공인중개사사무소,02-414-6361,이형승,송파구,유,20211231
송파동,"서울특별시 송파구 백제고분로42길 18 1층 (송파동, 선경빌딩)",11710-2017-00045,삼성부동산컨설팅공인중개사사무소,02-413-8989,조우연,송파구,유,20170125
송파동,송파동  52 - 15  ,나9252-9-95,삼성중개인사무소,-,강상구,송파구,무,19840626
송파동,"서울특별시 송파구 오금로 252 , 상가동 2층11호 (송파동, 가락삼익맨숀)",11710-2017-00083,삼익공인중개사사무소,02-414-4321\n02-413-0234,오승연,송파구,유,20170227
송파동,서울특별시 송파구 오금로 172 (송파동),9252-0344,새한공인중개사사무소,413-6100,배준오,송파구,유,19860805
송파동,서울특별시 송파구 송파대로40길 6 (송파동),9253-6996,서울공인중개사사무소,419-9494,홍천해,송파구,유,20080812
송파동,서울특별시 송파구 백제고분로45길 22-1 1층(송파동),9253-5074,성실공인중개사사무소,02-423-2489,송해기,송파구,유,20050722
송파동,서울특별시 송파구 백제고분로 431 1층(송파동),9253-7845,세종공인중개사사무소,424-6611,홍영준,송파구,유,20100514
송파동,"서울특별시 송파구 오금로32길 14 101동 103호 (송파동, 송파삼성래미안아파트)",11710-2015-00244,소망공인중개사사무소,2042-4242,전은경,송파구,유,20150915
송파동,서울특별시 송파구 백제고분로41길 7 (송파동),9253-5382,송파공인중개사사무소,414-1145,김상철,송파구,유,20051209
송파동,서울특별시 송파구 가락로28길 15 (송파동),9253-5760,송파공인중개사사무소,412-0080,권태관,송파구,유,20060602
송파동,서울특별시 송파구 오금로 224 1층(송파동),11710-2019-00192,송파나루공인중개사사무소,02-416-5088,박혁민,송파구,유,20190603
송파동,"서울특별시 송파구 오금로32길 31 상가동 104호,106호 (송파동, 래미안파인탑아파트)",9253-9144,송파래미안공인중개사사무소,02-418-3232,표형종,송파구,유,20140722
송파동,"서울특별시 송파구 오금로 126 106호(송파동, 레이크해모로)",11710-2021-00252,송파리치공인중개사사무소,02-425-2300\n010-4255-3556,조현찬,송파구,유,20211025
송파동,서울특별시 송파구 백제고분로46길 19-1 1층(송파동),11710-2022-00147,송파한양공인중개사사무소,02-424-0450,권귀순,송파구,유,20220503
송파동,서울특별시 송파구 백제고분로41길 17 1층(송파동),9253-7920,송파효자공인중개사사무소,420-5150,강주연,송파구,유,20100722
송파동,"서울특별시 송파구 오금로32길 14 101동 113호 (송파동, 송파삼성래미안아파트)",11710-2016-00290,쉐르빌공인중개사사무소,02-419-0088,이정원,송파구,유,20160729
송파동,"서울특별시 송파구 오금로32길 31 상가동 113, 114호(송파동,래미안파인탑)",11710-2020-00053,스타래미안부동산중개법인유한회사,02-422-2229,최성호,송파구,유,20200213
송파동,서울특별시 송파구 가락로 176 103호(송파동),11710-2016-00064,신라공인중개사사무소,02-424-9700,김영동,송파구,유,20160229
송파동,서울특별시 송파구 백제고분로 426 1층 (송파동),11710-2015-00222,신성공인중개사사무소,02-424-7400,노건오,송파구,유,20140113
송파동,서울특별시 송파구 가락로21길 34 (송파동),9253-5041,신신공인중개사사무소,412-1134,구순옥,송파구,유,20050706
송파동,서울특별시 송파구 백제고분로42길 6-9 B01호 (송파동),11710-2016-00274,써브대림공인중개사사무소,02-425-0915,장선주,송파구,유,20061011
송파동,서울특별시 송파구 송파대로38길 2-9 102호 (송파동),9253-4375,씨티공인중개사사무소,430-2222,박경현,송파구,유,20040213
송파동,서울특별시 송파구 오금로18길 3 1층(송파동),9253-9153,알찬공인중개사사무소,414-7772,김중수,송파구,유,20140804
송파동,"서울특별시 송파구 석촌호수로 298 103호(송파동,잠실대우레이크월드)",11740-2022-00038-001,알톡부동산중개주식회사 분사무소,-,김서연,강동구,유,20151102
송파동,"서울특별시 송파구 송파대로48길 37 상가동 102호 (송파동, 호수임광아파트)",11710-2022-00232,엘리트공인중개사사무소,02-417-4200,윤제일,송파구,유,20220913
송파동,서울특별시 송파구 가락로 169 1층 (송파동),11710-2016-00280,연세공인중개사사무소,414-8911,오중근,송파구,유,20160721
송파동,"서울특별시 송파구 오금로32길 31 상가동 111호 (송파동, 래미안송파파인탑)",9253-8424,오렌지탑(단지내)공인중개사사무소,414-0010,김미정,송파구,유,20120110
송파동,서울특별시 송파구 오금로 252 상가 123호 (송파동),9253-5113,오성공인중개사사무소,02-425-1213,이진원,송파구,유,20050803
송파동,"서울특별시 송파구 오금로24길 13 11호(송파동,미성상가)",9253-7708,유명공인중개사사무소,02-416-3002,최은영,송파구,유,20100222
송파동,서울특별시 송파구 가락로 133 3층 (가락동),11710-2022-00241,유선공인중개사사무소,-,김유선,송파구,유,20220927
송파동,서울특별시 송파구 가락로31길 35 101호(송파동),11710-2022-00021,유한회사에이에프부동산중개법인,"02-6959-2310, 02-6959-2812, 02-6959-2913, 02-6959-2984, 02-6959-3096, 02-6959-3097, 02-6959-3785",김윤수,송파구,유,20220111
송파동,서울특별시 송파구 백제고분로41길 12 1층 (송파동),9253-7846,은혜공인중개사사무소,02-422-0018,이흥영,송파구,유,20100514
송파동,서울특별시 송파구 오금로 252 상가 202호(송파동),9253-5381,이화공인중개사사무소,414-8001,최창영,송파구,유,20051209
송파동,서울특별시 송파구 백제고분로45길 5 (송파동),가9252-1556,일신공인중개사사무소,02-414-3704,김성한,송파구,유,19851130
송파동,서울특별시 송파구 백제고분로42길 17 101호(송파동),9253-2466,잠실공인중개사사무소,418-8944,강성룡,송파구,유,20000523
송파동,"서울특별시 송파구 석촌호수로 284 419호(송파동, 현대레이크빌)",11710-2022-00170,잠실방송공인중개사사무소,02-2202-0114,박재영,송파구,유,20220531
